5 5
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
I1 1
O 2
O 4
I1 1
O 2
O 4
T3 2
T1 1
T2 4
J4 2
T4 1
T2 4
T2 1
T4 4
J3 3
T4 1
J4 3
T1 1
I2 1
I1 5
I2 1
O 1
O 4
I1 3
O 1
T4 4
I1 5
J3 3
T2 1
O 1
I1 3
J3 4
O 4
O 1
L2 3
